artist,date,genre,style,title,filename,Gender
Saturnino Herran,1917.0,portrait,Impressionism,Manuel Toussaint,100265.jpg,0
Amedeo Modigliani,1917,portrait,Expressionism,Portrait of Leon Bakst,100280.jpg,0
Zinaida Serebriakova,1910,portrait,Art Nouveau (Modern),Portrait of a Peasant Woman ,100325.jpg,1
Frank Dicksee,1917.0,portrait,Romanticism,"Portrait of the Artist's Niece, Dorothy",100334.jpg,0
Odilon Redon,1901,portrait,Symbolism,Portrait of Madame Arthur Fontaine,100339.jpg,0
George Stefanescu-Ramnic ,1975,portrait,Expressionism,Mexican Woman,100342.jpg,0
M.F. Husain,1966.0,portrait,Expressionism,Untitled (Kashmiri Couple),10035.jpg,0
George Bellows,1908,portrait,American Realism,Paddy Flannigan,100360.jpg,0
Andrei Ryabushkin,1901,portrait,Realism,Woman in Novgorod Peasant Dress,100370.jpg,0
George Washington Lambert,1908.0,portrait,Symbolism,Portrait Group,100385.jpg,0
Fernand Leger,1921.0,portrait,Cubism,Man and Woman,100398.jpg,0
Nikolay Bogdanov-Belsky,1940,portrait,Realism,Portrait of Maxim Gorky,1004.jpg,0
Amedeo Modigliani,1915,portrait,Expressionism,Raimondo,100404.jpg,0
Richard Lindner,1955.0,portrait,Mechanistic Cubism,Boy with machine ,100417.jpg,0
Robert Henri,1912.0,portrait,American Realism,La Montera. Segovia Girl in Fiesta Costume ,100441.jpg,0
Henri Matisse,1913,portrait,Expressionism,Standing Moroccan in Green (Standing Riffian) ,100471.jpg,0
Vanessa Bell,1912.0,portrait,Divisionism,Roger Fry,100475.jpg,1
Salvador Dali,1955,portrait,Surrealism,Portrait of Laurence Olivier in the Role of Richard III,100500.jpg,0
Pyotr Konchalovsky,1941,portrait,Post-Impressionism,Portrait of V. V. Ivanov,100547.jpg,0
Boris Kustodiev,1920.0,portrait,Realism,Group portrait of painters of the World of Art,100584.jpg,0
Robert Henri,1925.0,portrait,American Realism,MacNamara,100585.jpg,0
Marevna (Marie Vorobieff),1956.0,portrait,Cubism,Portrait of Pablo Picasso,100626.jpg,1
Robert Henri,1921.0,portrait,American Realism,Francine,100637.jpg,0
Boris Kustodiev,1913.0,portrait,Realism,Portrait of N.K. von Meck,100647.jpg,0
Konstantin Korovin,1912,portrait,Impressionism,Portrait of a Hungarian artist József Ripley Ronai,100683.jpg,0
George Bellows,1911,portrait,American Realism,New York,100707.jpg,0
Ilya Mashkov,1923,portrait,Post-Impressionism,Portrait of the artist's wife Maria Ivanovna Mashkova,100709.jpg,0
Lucian Freud,1987,portrait,Expressionism,Lord Goodman in his Yellow Pyjamas,100710.jpg,0
George Stefanescu-Ramnic ,1972,portrait,Fauvism,Lucia Sturdza Bulandra in The Madwoman of Chaillot ,100761.jpg,0
Avigdor Arikha,1973.0,portrait,Expressionism,Anne in Profile,100817.jpg,0
George Henry,1925.0,portrait,Realism,"Sir Hector Clare Cameron, President of the Faculty of Physicians and Surgeons of Glasgow",100836.jpg,0
John William Godward,1908,portrait,Neoclassicism,Ismenia,10086.jpg,0
Oskar Kokoschka,1908,portrait,Expressionism,Girl with hands raised,100866.jpg,0
Richard Lindner,1963.0,portrait,Mechanistic Cubism,The Street,10087.jpg,0
John William Waterhouse,1907,portrait,Romanticism,Lady Violet Henderson,100872.jpg,0
Tamara de Lempicka,1958,portrait,Art Deco,Portrait of Françoise Sagan,100878.jpg,1
Ilya Mashkov,1909,portrait,Fauvism,Portrait of V.P. Vinogradova,100896.jpg,0
Nicolae Tonitza,1924.0,portrait,Expressionism,Girl in White,100908.jpg,0
Eyvind Earle,1975.0,portrait,Magic Realism,Mother & Child,100927.jpg,0
Vasily Surikov,1911,portrait,Impressionism,Portrait of young woman,100936.jpg,0
Ilya Repin,1904.0,portrait,Realism,Portrait of the Author Leonid Andreev,100942.jpg,0
Salvador Dali,1981,portrait,Surrealism,Untitled (Female Bust with Draped Cloth),100969.jpg,0
Edvard Munch,1905.0,portrait,Expressionism,Man and Woman I,100995.jpg,0
Eugene Carriere,1906.0,portrait,Symbolism,Portrait of Lise Carrière ,101.jpg,0
Augustus John,1916.0,portrait,Post-Impressionism,The Right Honourable David Lloyd George,101006.jpg,0
Frederic Remington,1909.0,portrait,Tonalism,The Outlier,101026.jpg,0
Niko Pirosmani,1908,portrait,Naïve Art (Primitivism),Peasant and his son,101062.jpg,0
Zinaida Serebriakova,1904,portrait,Impressionism,Portrait of Boris Serebryakov ,101090.jpg,1
Neil Welliver,1959.0,portrait,Abstract Expressionism,Floating Figures,101103.jpg,0
Nicolae Tonitza,1924.0,portrait,Expressionism,The Woodman's Girl,101153.jpg,0
Stefan Luchian,1901.0,portrait,Impressionism,Portrait of a Woman,101165.jpg,0
Egon Schiele,1914,portrait,Expressionism,Portrait of a Woman with Blue and Green Scarf,101170.jpg,0
Lucian Freud,1974,portrait,Expressionism,Ali,101215.jpg,0
Zinaida Serebriakova,1932,portrait,Expressionism,Young Moroccan ,101227.jpg,1
Andy Warhol,1983,portrait,Pop Art,Ingrid Bergman (as Herself),101314.jpg,0
Nicolae Tonitza,1926.0,portrait,Post-Impressionism,Child Portrait,101316.jpg,0
Thomas Eakins,1905,portrait,Realism,Portrait of Florence Einstein ,101332.jpg,0
Henri Matisse,1919,portrait,Expressionism,Sitting Woman,101342.jpg,0
Lucian Freud,1996,portrait,Expressionism,Bruce Bernard Seated,101347.jpg,0
Emil Nolde,1915,portrait,Expressionism,Gustav Schiefler ,101355.jpg,0
Fairfield Porter,1965.0,portrait,Contemporary Realism,Anne,101363.jpg,0
Emil Nolde,1915,portrait,Expressionism,Bonnichsen family,101374.jpg,0
David Burliuk,1960,portrait,Post-Impressionism,Marusia,101398.jpg,0
Oskar Kokoschka,1928,portrait,Expressionism,The Morabito of Temacina,101430.jpg,0
Boris Kustodiev,1913.0,portrait,Realism,Portrait of E.E. Lansere,101437.jpg,0
Yiannis Tsaroychis,1959,portrait,Expressionism,Officer  mariner on pink background,101481.jpg,0
Alfred Kubin,1926.0,portrait,Symbolism,The Great Grandmother,101484.jpg,0
Robert Henri,1921.0,portrait,American Realism,Carl,101487.jpg,0
Pyotr Konchalovsky,1908,portrait,Post-Impressionism,Paris. The boy with the apple. (Portrait of Mikhail Petrovich Konchalovsky).,101511.jpg,0
Lucian Freud,1985,portrait,Expressionism,Head of Bruce Bernard,101521.jpg,0
Lucian Freud,1981,portrait,Expressionism,Bella,101523.jpg,0
Heinrich Campendonk,1921,portrait,Cubo-Expressionism,Jean Bloé Niestlé,101533.jpg,0
Marevna (Marie Vorobieff),1955.0,portrait,Cubism,Portrait of a young David,101593.jpg,1
Prudence Heward,1943,portrait,Expressionism,Portrait of Mrs. Zimmerman,101596.jpg,1
Fernand Leger,1913.0,portrait,Tubism,The Woman with the armchair,101638.jpg,0
Nicolae Tonitza,1925.0,portrait,Expressionism,Clown,101656.jpg,0
Pablo Picasso,1919,portrait,Cubism,The student,10166.jpg,0
Childe Hassam,1912,portrait,Impressionism,Lady in Furs (aka Mrs. Charles A. Searles),101673.jpg,0
Kuzma Petrov-Vodkin,1922,portrait,Symbolism,Head of a girl ,101721.jpg,0
John Bratby,1977.0,portrait,Expressionism,Richard Pasco (b.1926),101735.jpg,0
Kaoru Kawano,1955,portrait,Sōsaku hanga,Figure with Eyes Closed,10175.jpg,0
Richard Gerstl,1908,portrait,Expressionism,Schonberg Family,101751.jpg,0
Candido Portinari,1944.0,portrait,Expressionism,Marriage on the farm ,101781.jpg,0
Gabriele Munter,1911.0,portrait,Expressionism,Beim Malen (wohl Marianne von Werefkin),101803.jpg,1
Mikhail Nesterov,1940,portrait,Realism,Portrait of Vera Mukhina,101810.jpg,0
Walter Sickert,1935,portrait,Post-Impressionism,Variation on Peggy,101815.jpg,0
Alexej von Jawlensky,1912,portrait,Fauvism,Head in blue,101819.jpg,0
Roger de La Fresnaye,1914,portrait,Cubism,Seated man,101829.jpg,0
Nikos Nikolaou,1969,portrait,Post-Impressionism,Portrait of a man,101907.jpg,0
Arshile Gorky,1925,portrait,Cubism,Man's Head,101915.jpg,0
William H. Johnson,1939,portrait,Naïve Art (Primitivism),Seated Woman in Pink Blouse,101957.jpg,0
Thomas Eakins,1905,portrait,Realism,Monsignor Diomede Falconia,101968.jpg,0
Richard Gerstl,1903,portrait,Post-Impressionism,Waldemar Unger I,101982.jpg,0
Ilya Repin,1916.0,portrait,Realism,Portrait of Vengerov,101993.jpg,0
Robert Harris,1910.0,portrait,Realism,Portrait of Helen Galloway McNicoll ,101994.jpg,0
Leonor Fini,1952,portrait,Magic Realism,Portrait de la Princesse Nawal Toussoun,102.jpg,1
Norman Rockwell,1943,portrait,Social Realism,Mine America`s,102048.jpg,0
David Burliuk,1916,portrait,Futurism,Portrait of songbeater futurist Wassily Kamensky,102079.jpg,0
Ilya Mashkov,1918,portrait,Post-Impressionism,Portrait of a Woman with mirror,102092.jpg,0
Martiros Saryan,1943,portrait,Realism,Portrait of Academician Stepan Malkhasyan,102100.jpg,0
George Bellows,1914,portrait,Realism,Emma at the Piano,102106.jpg,0
Iosif Iser,1933.0,portrait,Realism,Woman in Yellow Chair,102133.jpg,0
Lucian Freud,1962,portrait,Expressionism,Annie,102154.jpg,0
Ilya Mashkov,1933,portrait,Socialist Realism,Pioneer with a horn,102189.jpg,0
Kees van Dongen,1905,portrait,Fauvism,Portrait de Fernande Olivier,102220.jpg,0
Jean Helion,1951.0,portrait,Expressionism,Leland Bell Reading I,102232.jpg,0
Lasar Segall,1927.0,portrait,Expressionism,Retrato de Mario de Andrade,102237.jpg,0
August Macke,1903,portrait,Expressionism,"Portrait of Dr. Ludwig Deubner, writing",102264.jpg,0
Zinaida Serebriakova,1934,portrait,Art Deco,Elena Braslavskaya ,10227.jpg,1
Vajda Lajos,1936.0,portrait,Naïve Art (Primitivism),Girl Icon ,102297.jpg,0
Valentin Serov,1909.0,portrait,Impressionism,Portrait of Helena Ivanovna Roerich ,102327.jpg,0
Vladimir Makovsky,1907,portrait,Realism,Lover of painting. Portrait of a collector I. E. Tsvetkov.,102357.jpg,0
Ernst Ludwig Kirchner,1922,portrait,Expressionism,Walking Man in the Meadow,102373.jpg,0
Boris Kustodiev,1913.0,portrait,Art Nouveau (Modern),Children of the artist,102381.jpg,0
Fernand Leger,1921.0,portrait,Cubism,The two women bouquet,102383.jpg,0
Robert Henri,1925.0,portrait,American Realism,Letecia,10253.jpg,0
Jacek Malczewski,1906,portrait,Art Nouveau (Modern),Portrait of Waclaw Karczewski,102533.jpg,0
Mario Sironi,1929,portrait,Neoclassicism,The family,102546.jpg,0
Felix Vallotton ,1902,portrait,Art Nouveau (Modern),Portrait of Baudelaire,102549.jpg,0
Fernand Leger,1920.0,portrait,Cubism,Three characters,10256.jpg,0
Robert Henri,1910.0,portrait,American Realism,Betalo (The Dancer) ,102569.jpg,0
Victor Borisov-Musatov,1904,portrait,Post-Impressionism,Young Girl with a Necklace,10258.jpg,0
Moise Kisling,1919,portrait,Post-Impressionism,Portrait of madame Andre Salmon,102583.jpg,0
Boris Kustodiev,1922.0,portrait,Realism,Portrait of Y.E. Kustodieva,102600.jpg,0
Martiros Saryan,1928,portrait,Expressionism,Alexander Tamanyan,102605.jpg,0
Theodor Pallady,1934.0,portrait,Impressionism,Interior din atelierul din Place Dauphine,102606.jpg,0
Alexej von Jawlensky,1922,portrait,Expressionism,"Head of a woman, Femina",102635.jpg,0
John William Waterhouse,1912,portrait,Romanticism,Portrait of Mrs.Charles Schreiber,102636.jpg,0
Robert Henri,1928.0,portrait,American Realism,Blond Bridget Lavelle ,102652.jpg,0
Amedeo Modigliani,1914,portrait,Expressionism,Portrait of Frank Haviland Burty,102668.jpg,0
Paul Klee,1939,portrait,Expressionism,Head of a child ,102692.jpg,0
Unichi Hiratsuka,1930,portrait,Sōsaku hanga,Girl,102695.jpg,0
Pablo Picasso,1930,portrait,Cubism,Seated Woman,102698.jpg,0
Alice Neel,1954,portrait,Expressionism,Richard Gibbs,102711.jpg,1
Zinaida Serebriakova,1917,portrait,Art Nouveau (Modern),Peasant Woman (with rocker) ,102783.jpg,1
Valentin Serov,1910.0,portrait,Impressionism,Portrait of Margarita Morozova,102785.jpg,0
Zinaida Serebriakova,1938,portrait,Expressionism,Portrait of A.B. Serebryakov ,102811.jpg,1
Zinaida Serebriakova,1906,portrait,Art Nouveau (Modern),Country Girl ,102817.jpg,1
George Stefanescu-Ramnic ,1998,portrait,Figurative Expressionism,Andalusian Singer ,102831.jpg,0
Paul Jacoulet,1934.0,portrait,Ukiyo-e,"Vielle Marchande De Carpes. Ibaraki, Japon",102845.jpg,0
John William Godward,1909,portrait,Neoclassicism,A Classical Beauty,102861.jpg,0
Amedeo Modigliani,1915,portrait,Expressionism,Portrait of Moise Kisling,102873.jpg,0
Ilya Repin,1902.0,portrait,Realism,Portrait of Ivan Ivanovich Shamshin,102878.jpg,0
Kuzma Petrov-Vodkin,1906,portrait,Symbolism,Portrait of the Artist's Wife ,102897.jpg,0
Boris Kustodiev,1926.0,portrait,Realism,Portrait B.A.Gorin-Goryainov,10292.jpg,0
Andy Warhol,1972,portrait,Pop Art,Mao,102923.jpg,0
Juan Gris,1922,portrait,Cubism,Harlequin,102943.jpg,0
Moise Kisling,1943,portrait,Post-Impressionism,Ms B.Dunn,102952.jpg,0
Boris Kustodiev,1901.0,portrait,Realism,Portrait of Y.E. Proshinskaya,103049.jpg,0
M.F. Husain,1964.0,portrait,Expressionism,Woman in Red,103050.jpg,0
Mario Tozzi,1969,portrait,,Fanciulla con Coda,103065.jpg,0
Pablo Picasso,1937,portrait,Surrealism,Leaning woman,103072.jpg,0
Boris Kustodiev,1926.0,portrait,Realism,Portrait of V. Shishkov,103102.jpg,0
Pablo Picasso,1937,portrait,Surrealism,Portrait of Dora Maar,103114.jpg,0
Giovanni Boldini,1913,portrait,Realism,Madame Michelham,103122.jpg,0
Albert Gleizes,1912.0,portrait,Cubism,Man on a Balcony (Portrait of Dr. Théo Morinaud),103131.jpg,0
Lucian Freud,1972,portrait,Expressionism,The Painter's Mother II,103140.jpg,0
Lucian Freud,2003,portrait,Expressionism,Frances Costelloe,103142.jpg,0
Augustus John,1912.0,portrait,Post-Impressionism,Edwin and Romilly,103155.jpg,0
Tano Festa,1984.0,portrait,Expressionism,Mirella,103175.jpg,0
Lyubov Popova,1915,portrait,Cubism,Portrait of a Philosopher,1032.jpg,1
Robert Henri,1907.0,portrait,American Realism,Cori ,1033.jpg,0
Pablo Picasso,1917,portrait,Cubism,Harlequin and woman with necklace,10351.jpg,0
Robert Henri,1915.0,portrait,American Realism,Laughing Gypsy Girl ,10354.jpg,0
Albert Bloch,1911,portrait,Expressionism,Portrait of a Man,10355.jpg,0
Lucian Freud,1999,portrait,Expressionism,Head of an Irishman,10382.jpg,0
Milton Avery,1950,portrait,Fauvism,Reclining Reader,10417.jpg,0
Vsevolod Maksymovych,1912,portrait,Art Nouveau (Modern),Male portrait,1043.jpg,0
Amedeo Modigliani,1915,portrait,Expressionism,Portrait of Henri Laurens,10448.jpg,0
Amedeo Modigliani,1915,portrait,Expressionism,Portrait of Juan Gris,10455.jpg,0
Ilya Repin,1908.0,portrait,Realism,"Portrait of the Chairman of the Azov-Don Commercial Bank in St. Petersburg, A.B. Nenttsel",10463.jpg,0
Robert Henri,1928.0,portrait,American Realism,Young Anthony,10471.jpg,0
Richard Hamilton,1983.0,portrait,Pop Art,Leopold Bloom ,10479.jpg,0
Jean Dupas,1928.0,portrait,Art Deco,The Riding Crop,10491.jpg,0
Mily Possoz,1920.0,portrait,Expressionism,A la Plage,10497.jpg,1
Salvador Dali,1951,portrait,Surrealism,Raphaelesque Head Exploding,10506.jpg,0
Goyo Hashiguchi,1921,portrait,Shin-hanga,Hot Spring Hotel,10512.jpg,0
Augustus John,1937.0,portrait,Post-Impressionism,Richard Hughes,10514.jpg,0
Boris Kustodiev,1926.0,portrait,Realism,S.P. Podyachev in his hut in the village Obolyaninove,10515.jpg,0
Boris Kustodiev,1913.0,portrait,Realism,Portrait of Russian actor Vasily Luzhsky,10527.jpg,0
Helene Schjerfbeck,1915.0,portrait,Expressionism,The Family Heirloom,10550.jpg,1
Robert Henri,1927.0,portrait,American Realism,Bridgie (also known as Girl with Chinese Dress),10572.jpg,0
George Henry,1908.0,portrait,Impressionism,Mrs. Kirkwood,10584.jpg,0
Boris Kustodiev,1907.0,portrait,Realism,Portrait of F.K. Sologub,10596.jpg,0
Boris Grigoriev,1916.0,portrait,Expressionism,Portrait of Vsevolod Meyerhold,1060.jpg,0
Moise Kisling,1942,portrait,Post-Impressionism,Young girl with long hair,10603.jpg,0
Lucian Freud,2001,portrait,Expressionism,Small Portait,10608.jpg,0
Koshiro Onchi,1943.0,portrait,Sōsaku hanga,Portrait of Sakutarō Hagiwara,10624.jpg,0
Carl Larsson,1903,portrait,Art Nouveau (Modern),Mrs Dora Lamm and Her Two Eldest Sons,10769.jpg,0
Gustave de Smet,1920.0,portrait,Expressionism,The Man with the Bottle,10794.jpg,0
Boris Kustodiev,1920.0,portrait,Realism,Portrait of Isaak Izrailevich Brodsky,1081.jpg,0
Milton Avery,1945,portrait,Fauvism,Female Painter,10813.jpg,0
Vasily Surikov,1914,portrait,Realism,"Portrait of M. Velichkina, nee Baroness von Klodt Yurgensburg",10815.jpg,0
William H. Johnson,1945,portrait,Naïve Art (Primitivism),Three Friends,10839.jpg,0
Ilya Repin,1913.0,portrait,Realism,Portrait of K.B. Boleslavova,10844.jpg,0
Ilya Repin,1915.0,portrait,Realism,Portrait of Anton Rubinstein,10860.jpg,0
Nikolaos Lytras,1925,portrait,Expressionism,The straw hat,10894.jpg,0
Ilya Repin,1903.0,portrait,Realism,Portrait of Count K.N. Palen,10923.jpg,0
Pablo Picasso,1937,portrait,Surrealism,Portrait of Marie-Thérèse Walter with garland,10926.jpg,0
Konstantin Korovin,1919,portrait,Impressionism,Actress Hope Komarovskaya ,10948.jpg,0
Anita Malfatti,1917.0,portrait,Expressionism,O homem amarelo,1097.jpg,1
Andy Warhol,1972,portrait,Pop Art,Mao,10971.jpg,0
August Macke,1909,portrait,Expressionism,Elisabeth Gerhard sewing,110.jpg,0
George Washington Lambert,1916.0,portrait,Post-Impressionism,Constant Lambert as a Christ's Hospital Schoolboy ,11036.jpg,0
Boris Kustodiev,1919.0,portrait,Art Nouveau (Modern),A young merchant's wife in the a checkered scarf,11054.jpg,0
Martiros Saryan,1944,portrait,Expressionism,Portrait of composer Aram Khachaturian,11064.jpg,0
Peder Severin Kroyer,1902.0,portrait,Impressionism,Holger Drachman,111.jpg,0
Pablo Picasso,1939,portrait,Surrealism,Dora Maar,11108.jpg,0
Irma Stern,1946.0,portrait,Post-Impressionism,Congolese Beauty,11111.jpg,1
Konstantin Somov,1926,portrait,Realism,Portrait of Louise Morgan,11122.jpg,0
Richard Oelze,1954.0,portrait,Surrealism,Imaginary Portrait,11139.jpg,0
Robert Henri,1911.0,portrait,American Realism,The Masquerade Dress ,11184.jpg,0
George Washington Lambert,1913.0,portrait,Symbolism,The Belle of the Alley ,11187.jpg,0
Egon Schiele,1910,portrait,Expressionism,Portrait of Karl Zakovsek,11205.jpg,0
Amedeo Modigliani,1917,portrait,Expressionism,Woman with a Black Tie,11224.jpg,0
Paul Klee,1938,portrait,Surrealism,A swarming ,11231.jpg,0
Martiros Saryan,1910,portrait,Expressionism,Persian woman,11234.jpg,0
Lyubov Popova,1914,portrait,Cubism,The Pianist,11242.jpg,1
Nicolae Vermont,1912.0,portrait,Realism,Gypsy Woman with Yellow Headscarf,11248.jpg,0
Kazimir Malevich,1933,portrait,Neoclassicism,Portrait of Man ,11290.jpg,0
Ilya Repin,1902.0,portrait,Realism,Portrait of Artist Vladimir Samoilov,11313.jpg,0
Amedeo Modigliani,1915,portrait,Expressionism,Woman's Head,11317.jpg,0
Henri Matisse,1918,portrait,Post-Impressionism,Marguerite Wearing a Hat,11367.jpg,0
Zinaida Serebriakova,1928,portrait,Art Deco,Moroccan woman in white ,11377.jpg,1
Zinaida Serebriakova,1962,portrait,Expressionism,Portrait of a ballerina Muriel Belmondo ,11380.jpg,1
Vladimir Makovsky,1917,portrait,Realism,Portrait of a man sitting on a park bench,11399.jpg,0
Charles M. Russell,1908.0,portrait,Romanticism,Buffalo Coat ,11414.jpg,0
Lucian Freud,1954,portrait,Expressionism,Man in a Headscarf (also known as The Procurer),11429.jpg,0
Richard Lindner,1966.0,portrait,Mechanistic Cubism,Rock-Rock,11435.jpg,0
Torii Kotondo,1934.0,portrait,Shin-hanga,Plum Blossoms at Night,11447.jpg,0
Pyotr Konchalovsky,1921,portrait,Expressionism,"Portrait of Pyotr Konchalovsky, the son of the artist",11471.jpg,0
Augustus John,1917.0,portrait,Post-Impressionism,Mrs Randolph Schwabe,11490.jpg,0
Lilla Cabot Perry,1907.0,portrait,Impressionism,The Yellow Screen ,11517.jpg,1
Valentin Serov,1911.0,portrait,Impressionism,Portrait of Yelena Balina,11521.jpg,0
Henri Matisse,1913,portrait,Cubism,Portrait of Mme. Matisse ,11532.jpg,0
Amedeo Modigliani,1915,portrait,Expressionism,Portrait of Henri Laurens,11537.jpg,0
Amedeo Modigliani,1918,portrait,Expressionism,Portrait of Jeanne Hebuterne,11543.jpg,0
Pablo Picasso,1935,portrait,Surrealism,Head of a woman (Olga Picasso),11573.jpg,0
Albert Anker,1908.0,portrait,Realism,The Absinth Drinker,11641.jpg,0
Robert Henri,1913.0,portrait,American Realism,The Little Irishman,11659.jpg,0
Henri Matisse,1916,portrait,Post-Impressionism,Laurette with Long Locks,11679.jpg,0
Spyros Papaloukas,1922.0,portrait,Expressionism,Portrait of girl ,11890.jpg,0
Robert Henri,1922.0,portrait,American Realism,Young Sport (Francisco),11906.jpg,0
Edwin Dickinson,1954.0,portrait,Neo-Romanticism,Self Portrait ,11948.jpg,0
Philip Wilson Steer,1907,portrait,Impressionism,Mrs Violet M. Hammersley,1196.jpg,0
Amedeo Modigliani,1918,portrait,Expressionism,Pierre Edouard Baranowski,120.jpg,0
Abraham Manievich,1929,portrait,Expressionism,Portrait of the Artist`s Wife,12024.jpg,0
Giovanni Boldini,1913,portrait,Realism,Portrait of a Lady Lina Bilitis with Two Pekinese,12036.jpg,0
Jean Cocteau,1937.0,portrait,Expressionism,Chanel Haute Couture ,12048.jpg,0
Mikhail Nesterov,1917,portrait,Symbolism,Archbishop (Portrait of Antoniy Volynskiy),1214.jpg,0
Milton Avery,1944,portrait,Fauvism,Cello Player,12140.jpg,0
Gerard Sekoto,1943,portrait,Expressionism,"A PORTRAIT OF A CAPE COLOURED SCHOOL TEACHER, OMAR ",12156.jpg,0
Spyros Papaloukas,1924.0,portrait,Expressionism,Stratis Doukas ,12163.jpg,0
William H. Johnson,1939,portrait,Expressionism,Portrait of Fletcher,12165.jpg,0
Jean Dubuffet,1934,portrait,Expressionism,Two female heads in profile,12177.jpg,0
Antonio Carneiro,1920.0,portrait,Realism,Sinfonia Azul (Maria),12178.jpg,0
Max Liebermann,1903,portrait,Impressionism,Portrait of Miss Hedwig Ruetz,12208.jpg,0
Konstantin Yuon,1948,portrait,Realism,Portrait of E.V. Braginsky,12223.jpg,0
Giovanni Boldini,1905,portrait,Impressionism,Portrait of Elizabeth Wharton Drexel,12307.jpg,0
John William Godward,1916,portrait,Neoclassicism,Rich Gifts Wax Poor When Lovers Prove Unkind,12344.jpg,0
Augustus John,1912.0,portrait,Post-Impressionism,Dorelia Wearing a Turban,12347.jpg,0
Georges Rouault,1936.0,portrait,Expressionism,The Old King,12375.jpg,0
Kees van Dongen,1912,portrait,Fauvism,Woman With Blue Hat,12382.jpg,0
Henri Rousseau,1907,portrait,Naïve Art (Primitivism),The Representatives of Foreign Powers Coming to Salute the Republic as a Sign of Peace ,12402.jpg,0
Amedeo Modigliani,1919,portrait,Expressionism,Lunia Czechovska,12421.jpg,0
Amedeo Modigliani,1917,portrait,Expressionism,Portrait of Leopold Zborowski,12429.jpg,0
Richard Gerstl,1906,portrait,Art Nouveau (Modern),Portrait of a Young Woman with Feather Hat,1243.jpg,0
Maurice de Vlaminck,1906,portrait,Fauvism,Woman With a Dog,12437.jpg,0
William-Adolphe Bouguereau,1902,portrait,Realism,Modesty,12476.jpg,0
Boris Kustodiev,1905.0,portrait,Realism,Portrait of L.P. Albrecht,12477.jpg,0
Leon Bonnat,1902.0,portrait,Impressionism,Portrait de madame Dotézac,12512.jpg,0
Paul Delvaux,1934.0,portrait,Expressionism,Reclining Nude ,12515.jpg,0
Ivan Albright,1929.0,portrait,Magic Realism,Among those left,12540.jpg,0
Ion Theodorescu-Sion,1931.0,portrait,Post-Impressionism,Sister Maria Ciureanu,12542.jpg,0
Paul Delvaux,1928.0,portrait,Expressionism,Girls by the sea ,12543.jpg,0
Istvan Molnar,1991,portrait,,Lady's portrait on the yellow,12550.jpg,0
Henri Matisse,1917,portrait,Expressionism,Three Sisters,12570.jpg,0
Egon Schiele,1917,portrait,Expressionism,Portrait of Dr. Viktor Ritter von Bauer,12574.jpg,0
John Singer Sargent,1905,portrait,Realism,The Marlborough Family,12577.jpg,0
Ivan Albright,1929.0,portrait,Magic Realism,Seaman,12623.jpg,0
Richard Gerstl,1908,portrait,Expressionism,Double Portrait (green background),12634.jpg,0
Henri Matisse,1918,portrait,Post-Impressionism,Mlle Matisse in a Scotch Plaid Coat,12643.jpg,0
Alexandre Jacovleff,1920.0,portrait,Expressionism,Portrait of Prince George Lvov ,12654.jpg,0
Paul Delvaux,1937.0,portrait,Surrealism,Birth of Venus ,12731.jpg,0
Robert Henri,1916.0,portrait,American Realism,Gertrude Vanderbilt Whitney ,12760.jpg,0
Francisc Sirato,1923.0,portrait,Impressionism,Young Woman in Interior,12777.jpg,0
